date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Mar 21 2019 03:07:36 GMT-0700 (Pacific Daylight Time),Program Manager,"Detroit, MI",Former Employee,Positive,Recommends,,Join GE if you want your career to die,8,3,,,,3.0,5.0,5.0,2.0,3.0,1.0
Sun Apr 14 2019 19:13:25 GMT-0700 (Pacific Daylight Time),Somewhere,"Seattle, WA",Former Employee,Positive,Recommends,,Could be a good company,8,2,,,,1.0,3.0,1.0,2.0,3.0,1.0
Fri Mar 08 2019 12:28:24 GMT-0800 (Pacific Standard Time),Account Manager,"Cincinnati, OH",Current Employee,Positive,Recommends,,Was a great place to work,3,,,,,5.0,5.0,5.0,5.0,4.0,3.0
Tue Mar 05 2019 09:59:35 GMT-0800 (Pacific Standard Time),Anonymous Employee,,Former Employee,Positive,Recommends,,Product manager,8,,,,,5.0,,,,,
Tue Mar 05 2019 13:03:31 GMT-0800 (Pacific Standard Time),Customer Care,"Billerica, MA",Current Employee,Positive,Recommends,,Customer care rep,1,,,,,5.0,5.0,3.0,3.0,5.0,2.0
Sun Mar 03 2019 18:32:56 GMT-0800 (Pacific Standard Time),Lead Material Planner,"Cincinnati, OH",Current Employee,Positive,Recommends,,Great place for a long term career,5,,,,,5.0,3.0,4.0,4.0,4.0,2.0
Sun Mar 03 2019 20:19:02 GMT-0800 (Pacific Standard Time),Anonymous Employee,,Current Employee,Positive,Recommends,,isc,1,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Mar 03 2019 12:10:47 GMT-0800 (Pacific Standard Time),Administrative,,Current Employee,Positive,Recommends,,Good Place,1,,,,,4.0,3.0,3.0,3.0,3.0,3.0
Sat Mar 16 2019 11:32:13 GMT-0700 (Pacific Daylight Time),Indirect Sourcing Manager,,Current Employee,Positive,Recommends,,Conservative boring company with no growth,3,1,,,,2.0,2.0,1.0,2.0,2.0,1.0
Sun Apr 07 2019 12:19:41 GMT-0700 (Pacific Daylight Time),Engineer,"Dayton, OH",Current Employee,Negative,Doesn't Recommend,,GE Sucks,3,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Fri Mar 01 2019 20:21:22 GMT-0800 (Pacific Standard Time),Senior Engineer,"Atlanta, GA",Current Employee,Negative,Doesn't Recommend,,Great company,1,,,,,4.0,5.0,3.0,3.0,3.0,3.0
Thu Feb 28 2019 10:51:27 GMT-0800 (Pacific Standard Time),Allocator,"Charlotte, NC",Former Employee,Negative,Doesn't Recommend,,Allocator,1,,,,,4.0,3.0,5.0,4.0,4.0,5.0
Thu Mar 14 2019 09:04:29 GMT-0700 (Pacific Daylight Time),Executive Sourcing Leader,"Atlanta, GA",Current Employee,Negative,Doesn't Recommend,,A company with great products and team members ... Leadership needs a reboot,,,,,,3.0,3.0,3.0,3.0,4.0,2.0
Thu Feb 28 2019 05:23:50 GMT-0800 (Pacific Standard Time),National Account Manager,"Chicago, IL",Former Employee,Negative,Doesn't Recommend,,Great company,5,,,,,5.0,5.0,5.0,5.0,4.0,5.0
Wed Feb 27 2019 07:52:19 GMT-0800 (Pacific Standard Time),Sourcing Specialist,,Current Employee,Negative,Doesn't Recommend,,Great Company!,8,,,,,4.0,3.0,4.0,5.0,4.0,2.0
Wed Feb 27 2019 10:15:20 GMT-0800 (Pacific Standard Time),Financial Management Program,,Current Employee,Negative,Doesn't Recommend,,Great experience!,1,,,,,4.0,,,,,
Wed Feb 27 2019 18:06:23 GMT-0800 (Pacific Standard Time),Anonymous Employee,,Former Employee,Negative,Doesn't Recommend,,Plenty of growth opportunities and great people,,,,,,4.0,,,,,
Wed Mar 13 2019 19:55:32 GMT-0700 (Pacific Daylight Time),Account Manager,"Boston, MA",Current Employee,Negative,Doesn't Recommend,,Make GE great again,5,,,,,3.0,2.0,3.0,4.0,5.0,4.0
Tue Feb 26 2019 11:09:03 GMT-0800 (Pacific Standard Time),Wind Turbine Technician,,Current Employee,Negative,Doesn't Recommend,,Turbine technician,1,,,,,5.0,3.0,5.0,5.0,5.0,3.0
Wed Feb 27 2019 03:57:53 GMT-0800 (Pacific Standard Time),Anonymous Employee,,Former Employee,Negative,Recommends,,Great company,3,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Feb 26 2019 10:21:47 GMT-0800 (Pacific Standard Time),Field Service Engineer,"Atlanta, GA",Current Employee,Negative,Recommends,,Good Company,8,,,,,4.0,2.0,3.0,4.0,3.0,2.0
Mon Mar 11 2019 19:08:42 GMT-0700 (Pacific Daylight Time),Flexible Fuel Operator,"Wilmington, NC",Former Employee,Negative,Recommends,,Salary,3,,,,,3.0,3.0,4.0,4.0,3.0,2.0
Mon Apr 01 2019 11:14:08 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Negative,Recommends,,Good Ole' Boy Culture,3,,,,,1.0,1.0,1.0,2.0,4.0,1.0
Mon Apr 01 2019 16:13:10 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Negative,Recommends,,Pretty good place to work,,,,,,1.0,1.0,1.0,2.0,3.0,3.0
Sun Feb 24 2019 12:06:24 GMT-0800 (Pacific Standard Time),Anonymous Employee,,Current Employee,Negative,Recommends,,Manager,,,,,,4.0,,,,,
Thu Feb 21 2019 14:25:20 GMT-0800 (Pacific Standard Time),Senior Product Manager,"Houston, TX",Current Employee,Negative,Recommends,,Used to be great and will be again,1,,,,,4.0,2.0,3.0,4.0,2.0,1.0
Tue Mar 05 2019 07:22:25 GMT-0800 (Pacific Standard Time),Anonymous Employee,,Former Employee,Negative,Recommends,,Marketing,,,,,,3.0,,,,,
Wed Mar 06 2019 04:05:56 GMT-0800 (Pacific Standard Time),Marketing,"Boston, MA",Former Employee,Negative,Recommends,,GE has changed a lot,3,,,,,2.0,2.0,3.0,2.0,2.0,2.0
Mon Feb 18 2019 08:30:44 GMT-0800 (Pacific Standard Time),Anonymous Employee,,Former Employee,Negative,Recommends,,Good company to work for,,,,,,4.0,,,,,
Sun Feb 17 2019 14:22:53 GMT-0800 (Pacific Standard Time),Lead Engineer,"Houston, TX",Current Employee,Negative,Recommends,,Great benefits,5,,,,,4.0,5.0,5.0,3.0,2.0,3.0
